Area_Name,Date,,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Meghalaya,5/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,38
Mizoram,5/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,0,0
Nagaland,5/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,10,24
Odisha,5/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,145,344,1300
Puducherry,5/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,176,313
Punjab,5/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,165,267,629
Rajasthan,5/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,84,1263,5434
Tamil Nadu,5/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2357,2561,3645
Tripura,5/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,12,28
Uttar Pradesh,5/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25,1315,6449
Uttarakhand,5/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,91,387
West Bengal,5/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,358,2093
Andaman & Nicobar Islands,5/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,5,5
Andhra Pradesh,5/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2360,4659
Arunachal Pradesh,5/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,32,117
Assam,6/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,11,181,551
Bihar,6/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,197,1983
Chandigarh,6/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,129,368
Chhattisgarh,6/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,522,1426
Dadra & Nagar Haveli,6/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,3,14
Daman & Diu,6/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,5,18
Delhi,6/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,143,997,4574
Goa,6/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,49,158
Gujarat,6/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,353,1517,6199
Haryana,6/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1227,3696
Himachal Pradesh,6/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,27,65
Jammu & Kashmir,6/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,52,291
Jharkhand,6/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6,108,476
Karnataka,6/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81,1054,5073
Kerala,6/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14,367,1203
Madhya Pradesh,6/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1740,5741
Maharashtra,6/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,319,2479,9518
Manipur,6/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,7,90
Meghalaya,6/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,23
Mizoram,6/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,0,0
Nagaland,6/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,39,170
Odisha,6/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,405,1525
Puducherry,6/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,138,138,224
Punjab,6/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,152,319,695
Rajasthan,6/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260,1027,5425
Sikkim,6/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1,1
Tamil Nadu,6/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2215,2353,3108
Tripura,6/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,6,52
Uttar Pradesh,6/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64,1292,5895
Uttarakhand,6/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,100,339
West Bengal,7/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25,398,2166
Andaman & Nicobar Islands,7/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,5,5
Andhra Pradesh,7/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,79,1754,4554
Arunachal Pradesh,7/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,22,74
Assam,7/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16,248,674
Bihar,7/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,275,1700
Chandigarh,7/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,117,361
Chhattisgarh,7/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80,630,1910
Dadra & Nagar Haveli,7/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,12
Daman & Diu,7/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,3,19
Delhi,7/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,953,4627
Goa,7/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,52,170
Gujarat,7/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,423,1437,6409
Haryana,7/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,1556,4641
Himachal Pradesh,7/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,38,74
Jammu & Kashmir,7/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,74,287
Jharkhand,7/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,235,1118
Karnataka,7/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,82,1046,4808
Kerala,7/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,17,328,1200
Lakshadweep,7/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1,2
Madhya Pradesh,7/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,147,1843,6771
Maharashtra,7/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,833,3008,10104
Manipur,7/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,103
Meghalaya,7/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,56
Mizoram,7/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,30,37
Nagaland,7/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,34,50
Odisha,7/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,174,508,1410
Puducherry,7/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,111,304
Punjab,7/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,301,352,844
Rajasthan,7/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,331,1055,5716
Sikkim,7/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,1,1
Tamil Nadu,8/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2183,2423,2784
Tripura,8/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,3,15
Uttar Pradesh,8/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,28,1605,6571
Uttarakhand,8/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,92,374
West Bengal,8/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,22,304,2303
Andaman & Nicobar Islands,8/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,7,8
Andhra Pradesh,8/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81,2499,5616
Arunachal Pradesh,8/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,59,104
Assam,8/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21,241,545
Bihar,8/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,260,1871
Chandigarh,8/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,119,474
Chhattisgarh,8/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,618,1684
Dadra & Nagar Haveli,8/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,3,16
Daman & Diu,8/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,5,22
Delhi,8/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,774,4641
Goa,8/16/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,53,180
Gujarat,8/17/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,500,1655,7252
Haryana,8/18/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94,1498,4746
Himachal Pradesh,8/19/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,38,114
Jammu & Kashmir,8/20/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,65,221
Jharkhand,8/21/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,172,1250
Karnataka,8/22/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,1573,4877
Kerala,8/23/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,13,413,1298
Lakshadweep,8/24/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,2,2
Madhya Pradesh,8/25/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,395,1910,7864
Maharashtra,8/26/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,888,2961,11189
Manipur,8/27/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,6,115
Meghalaya,8/28/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2,45
Mizoram,8/29/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,29,51
Nagaland,8/30/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,21,117
Odisha,8/31/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,34,381,1525
Puducherry,9/1/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,172,478
Punjab,9/2/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,415,385,1110
Rajasthan,9/3/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,100,1170,6574
Sikkim,9/4/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,3,3,3
Tamil Nadu,9/5/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1830,2222,2545
Tripura,9/6/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,13,51
Uttar Pradesh,9/7/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,59,1660,7579
Uttarakhand,9/8/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,106,106,418
West Bengal,9/9/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,47,353,1954
Andaman & Nicobar Islands,9/10/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,NULL,6,10
Andhra Pradesh,9/11/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,3316,6993
Arunachal Pradesh,9/12/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,27,43
Assam,9/13/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,52,134,1255
Bihar,9/14/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,340,2445
Chandigarh,9/15/2001,,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,135,662
